2549,0,org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser:<init>([Lorg/apache/commons/math3/optimization/fitting/WeightedObservedPoint;)V
2550,0,org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser:guess()[D
2551,0,org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser:sortObservations()V
2552,1,org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser:guessAOmega()V
2553,0,org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser:guessPhi()V
2557,0,org.apache.commons.math3.optimization.fitting.WeightedObservedPoint:<init>(DDD)V
2559,0,org.apache.commons.math3.optimization.fitting.WeightedObservedPoint:getX()D
2560,0,org.apache.commons.math3.optimization.fitting.WeightedObservedPoint:getY()D
4144,0,org.apache.commons.math3.util.FastMath:sqrt(D)D
4167,0,org.apache.commons.math3.util.FastMath:polySine(D)D
4168,0,org.apache.commons.math3.util.FastMath:polyCosine(D)D
4169,0,org.apache.commons.math3.util.FastMath:sinQ(DD)D
4170,0,org.apache.commons.math3.util.FastMath:cosQ(DD)D
4173,0,org.apache.commons.math3.util.FastMath:sin(D)D
4174,0,org.apache.commons.math3.util.FastMath:cos(D)D
4178,0,org.apache.commons.math3.util.FastMath:atan2(DD)D
