org.apache.commons.math3.fitting.PolynomialFitter.<init>(Lorg/apache/commons/math3/optim/nonlinear/vector/MultivariateVectorOptimizer;)V 50001.998222222224,50001.0,50001.22222222222,50001.125,54493.0,50001.9982226172,50002.0,50068.029844099474,50000.4,50139.99250577473,50002.68179283051,50001.0,50001.0,50001.99644523439,54494.0,50001.11111111111,50001.125,50001.555555555555,50562.625,50001.00022177867,50001.333333333336,50001.333036905235,50001.0,50001.2,50001.99645154136,50001.00022217285,50001.11111111111,50001.9982226172,50001.999110518125,50001.99822537711,50002.0,49999.4,50001.11111111111
org.apache.commons.math3.analysis.polynomials.PolynomialFunction$Parametric.<init>()V 50001.995777777774,50001.0,50001.1,50001.05263157895,54482.0,50001.99577871584,50002.0,50067.947740813266,50000.19047619047,50141.52297759353,50003.08779762993,50001.0,50001.0,50001.991557431684,54483.0,50001.05,50001.05263157895,50001.525,50236.89473684211,50001.00022123894,50001.22360679775,50001.22313423962,50001.0,50001.09523809524,50001.991592920356,50001.00022217285,50001.05,50001.99577871584,50001.99788489369,50001.99579552998,50002.0,49999.91,50001.05
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$1.<init>(Lorg/apache/commons/math3/fitting/CurveFitter$TheoreticalValuesFunction;)V 50001.99422222222,50001.0,50001.07407407407,50001.03846153846,54475.0,50001.994223505884,50002.0,50067.8954408013,50000.142857142855,50142.26309816358,50003.258100864354,50001.0,50001.0,50001.988447011776,54476.0,50001.03703703704,50001.03846153846,50001.51851851852,50173.11538461538,50001.00022089684,50001.19245008973,50001.19189331741,50001.0,50001.07142857143,50001.98851336426,50001.00022217285,50001.03703703704,50001.994223505884,50001.997103386806,50001.99425541317,50002.0,49999.84,50001.03703703704
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction$2.<init>(Lorg/apache/commons/math3/fitting/CurveFitter$TheoreticalValuesFunction;)V 50001.99422222222,50001.0,50001.07407407407,50001.03846153846,54475.0,50001.994223505884,50002.0,50067.8954408013,50000.142857142855,50142.26309816358,50003.258100864354,50001.0,50001.0,50001.988447011776,54476.0,50001.03703703704,50001.03846153846,50001.51851851852,50173.11538461538,50001.00022089684,50001.19245008973,50001.19189331741,50001.0,50001.07142857143,50001.98851336426,50001.00022217285,50001.03703703704,50001.994223505884,50001.997103386806,50001.99425541317,50002.0,49999.84,50001.03703703704
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction.<init>(Lorg/apache/commons/math3/fitting/CurveFitter;Lorg/apache/commons/math3/analysis/ParametricUnivariateFunction;)V 50001.99422222222,50001.0,50001.07407407407,50001.03846153846,54475.0,50001.994223505884,50002.0,50067.8954408013,50000.142857142855,50142.26309816358,50003.258100864354,50001.0,50001.0,50001.988447011776,54476.0,50001.03703703704,50001.03846153846,50001.51851851852,50173.11538461538,50001.00022089684,50001.19245008973,50001.19189331741,50001.0,50001.07142857143,50001.98851336426,50001.00022217285,50001.03703703704,50001.994223505884,50001.997103386806,50001.99425541317,50002.0,49999.84,50001.03703703704
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction.getModelFunction()Lorg/apache/commons/math3/optim/nonlinear/vector/ModelFunction; 50001.99422222222,50001.0,50001.07407407407,50001.03846153846,54475.0,50001.994223505884,50002.0,50067.8954408013,50000.142857142855,50142.26309816358,50003.258100864354,50001.0,50001.0,50001.988447011776,54476.0,50001.03703703704,50001.03846153846,50001.51851851852,50173.11538461538,50001.00022089684,50001.19245008973,50001.19189331741,50001.0,50001.07142857143,50001.98851336426,50001.00022217285,50001.03703703704,50001.994223505884,50001.997103386806,50001.99425541317,50002.0,49999.84,50001.03703703704
org.apache.commons.math3.fitting.CurveFitter$TheoreticalValuesFunction.getModelFunctionJacobian()Lorg/apache/commons/math3/optim/nonlinear/vector/ModelFunctionJacobian; 50001.99422222222,50001.0,50001.07407407407,50001.03846153846,54475.0,50001.994223505884,50002.0,50067.8954408013,50000.142857142855,50142.26309816358,50003.258100864354,50001.0,50001.0,50001.988447011776,54476.0,50001.03703703704,50001.03846153846,50001.51851851852,50173.11538461538,50001.00022089684,50001.19245008973,50001.19189331741,50001.0,50001.07142857143,50001.98851336426,50001.00022217285,50001.03703703704,50001.994223505884,50001.997103386806,50001.99425541317,50002.0,49999.84,50001.03703703704
org.apache.commons.math3.fitting.WeightedObservedPoint.<init>(DDD)V 50001.99377777778,50001.0,50001.06896551724,50001.03571428572,54473.0,50001.993779160184,50002.0,50067.880490428826,50000.13333333333,50142.455581272116,50003.30032663379,50001.0,50001.0,50001.987558320376,54474.0,50001.03448275862,50001.03571428572,50001.51724137931,50160.75,50001.000220799295,50001.18569533818,50001.18511671787,50001.0,50001.066666666666,50001.987635239566,50001.00022217285,50001.03448275862,50001.993779160184,50001.996879875194,50001.99381625442,50002.0,49999.82,50001.03448275862
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer.<init>()V 50001.990666666665,50001.0,50001.04651162791,50001.02380952381,54459.0,50001.990668740276,50002.0,50067.775744099185,50000.09090909091,50143.644819348396,50003.54572989502,50001.0,50001.0,50001.98133748056,54460.0,50001.023255813954,50001.02380952381,50001.51162790698,50107.166666666664,50001.00022011886,50001.15249857033,50001.151785242,50001.0,50001.045454545456,50001.98151001541,50001.00022217285,50001.023255813954,50001.990668740276,50001.9953125,50001.99075297226,50002.0,49999.68,50001.023255813954
org.apache.commons.math3.analysis.polynomials.PolynomialFunction.value(D)D 50001.98844444445,50001.0,50001.03773584906,50001.019230769234,54449.0,50001.988447011776,50002.0,50067.70082458261,50000.07407407407,50144.375181200914,50003.68534961428,50001.0,50001.0,50001.97689402355,54450.0,50001.018867924526,50001.019230769234,50001.50943396227,50086.557692307695,50001.0002196354,50001.137360563946,50001.13656461906,50001.0,50001.03703703704,50001.977157917856,50001.00022217285,50001.018867924526,50001.988447011776,50001.99418994413,50001.98857644991,50002.0,49999.58,50001.018867924526
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer.<init>(DDDDD)V 50001.98644444445,50001.0,50001.032258064515,50001.016393442624,54440.0,50001.98644745612,50002.0,50067.63332499583,50000.06349206349,50144.974328325894,50003.79468239267,50001.0,50001.0,50001.972894912244,54441.0,50001.01612903226,50001.016393442624,50001.50806451613,50073.7868852459,50001.000219202106,50001.127000127,50001.12613641134,50001.0,50001.031746031746,50001.97325734327,50001.00022217285,50001.01612903226,50001.98644745612,50001.99317749692,50001.98662573997,50002.0,49999.49,50001.01612903226
org.apache.commons.math3.optim.nonlinear.vector.ModelFunctionJacobian.<init>(Lorg/apache/commons/math3/analysis/MultivariateMatrixFunction;)V 50001.980444444445,50001.0,50001.02247191011,50001.01136363636,54413.0,50001.98044878916,50002.0,50067.43041472097,50000.044444444444,50146.544910169636,50004.062814313605,50001.0,50001.0,50001.96089757832,54414.0,50001.011235955055,50001.01136363636,50001.50561797753,50051.14772727273,50001.0002179124,50001.105999788,50001.10495822842,50001.0,50001.02222222222,50001.96164741774,50001.00022217285,50001.011235955055,50001.98044878916,50001.99012788871,50001.980819529206,50002.0,49999.22,50001.011235955055
org.apache.commons.math3.optim.nonlinear.vector.ModelFunction.<init>(Lorg/apache/commons/math3/analysis/MultivariateVectorFunction;)V 50001.98022222222,50001.0,50001.02222222222,50001.011235955055,54412.0,50001.98022661631,50002.0,50067.422887621666,50000.043956043955,50146.598059782045,50004.07147865564,50001.0,50001.0,50001.96045323261,54413.0,50001.01111111111,50001.011235955055,50001.50555555556,50050.573033707864,50001.00021786492,50001.10540925534,50001.10436166933,50001.0,50001.02197802198,50001.96122004357,50001.00022217285,50001.01111111111,50001.98022661631,50001.99001458543,50001.98060579647,50002.0,49999.21,50001.01111111111
