mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,10694566,4750,0,0,0,0,0,24
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,17439036,1571,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,6306525,1571,0,0,0,0,0,0
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,3436682,969,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_2,11996405,1571,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,2140100,4758,0,0,0,0,0,9
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,15488016,2614,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_2,12879693,4509,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,16514471,6274,0,0,1,1,1,4947
org.mudebug.prapr.mutators.MethCallResultGuard_2,6965751,4522,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,9789488,6085,0,0,0,0,0,1659
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,18924020,2160,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,15657309,5771,0,0,0,1,1,2443
org.mudebug.prapr.mutators.ArgumentListMutator_5,9806100,3314,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_0,2394694,1191,0,0,0,0,0,1
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,4312509,5754,0,0,1,1,1,4722
org.mudebug.prapr.mutators.MethCallResultGuard_1,5472784,297,0,0,0,0,0,1
org.mudebug.prapr.mutators.RelationalOperatorReplacement_3,8080618,5749,0,0,0,1,1,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,7711277,1571,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_5,15379088,2456,0,0,0,0,0,22
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,3949561,5737,0,0,1,1,1,1144
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,3157144,4517,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,5430506,5756,0,0,0,0,0,60
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,448299,4711,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,4459517,3923,0,0,0,0,0,0
