mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.mudebug.prapr.mutators.LocalNameMutator_0,6179571,4347,0,0,3,3,3,14
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,417525,5021,0,0,4,4,4,2567
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,9931879,385,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,8034273,935,0,0,4,4,4,2129
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,6753966,3988,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,3424730,3809,0,0,0,2,2,18
org.mudebug.prapr.mutators.ArgumentListMutator_0,913799,3546,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_4,1502788,500,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_1,2457533,982,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,4124390,4930,0,0,3,3,3,1936
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,3998692,5715,0,0,0,0,0,219
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,7313075,3243,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,8889602,5299,0,0,0,0,0,2
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,10011463,3982,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_1,5387529,5456,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_0,5686126,3351,0,0,0,0,0,5
org.mudebug.prapr.mutators.ArgumentListMutator_4,9065092,4368,0,0,0,1,1,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,6373910,4963,0,0,2,2,3,533
org.mudebug.prapr.mutators.ArgumentListMutator_1,1297722,3809,0,0,2,2,2,1173
org.mudebug.prapr.mutators.FieldNameMutator_0,10063594,4956,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_2,5422499,402,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,4491535,3816,0,0,0,0,0,12
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,6536192,4963,0,0,1,2,2,524
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,291040,4957,0,0,4,4,4,2567
org.mudebug.prapr.mutators.ArgumentListMutator_3,2519857,883,0,0,4,4,4,2135
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,5449019,4368,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_2,10011458,4368,0,0,0,1,1,0
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,8322633,935,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_2,5646151,4984,0,0,0,2,2,0
org.mudebug.prapr.mutators.MethodNameMutator_0,6997073,2810,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,42400,5322,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,2466494,2679,0,0,0,1,1,167
org.mudebug.prapr.mutators.LocalNameMutator_1,1841780,4962,0,0,3,3,3,662
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,9878694,5507,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,1656863,4344,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_9,8881803,2767,0,0,0,0,0,8
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,1443635,501,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_1,1455090,3351,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,6437925,506,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,166901,4354,0,0,0,0,0,42
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,7736186,4761,0,0,4,4,4,1211
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,3287387,5430,0,0,0,0,0,73
org.mudebug.prapr.mutators.RelationalOperatorReplacement_3,1756227,5412,0,0,0,0,0,2
org.mudebug.prapr.mutators.LocalNameMutator_0,3365789,1916,0,0,0,0,0,13
org.mudebug.prapr.mutators.ArgumentListMutator_4,945427,3809,0,0,2,2,2,1173
org.mudebug.prapr.mutators.FieldNameMutator_1,5680977,4958,0,0,0,0,0,36
org.mudebug.prapr.mutators.MethCallResultGuard_0,6513789,3995,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,4178138,2810,0,0,1,1,1,262
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,7863524,4587,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,6047290,483,0,0,4,4,4,623
org.mudebug.prapr.mutators.FieldNameMutator_2,1514564,4350,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArithmeticOperatorDeletion_0,104760,491,0,0,0,0,0,386
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,2564570,935,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_4,7627459,4992,0,0,0,3,3,12
org.mudebug.prapr.mutators.ArgumentListMutator_1,8744465,3809,0,0,0,0,0,6
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1088673,5294,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_1,6430072,402,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,6559946,5413,0,0,0,0,0,5
org.mudebug.prapr.mutators.ArgumentListMutator_1,6997275,3992,0,0,0,0,0,59
org.mudebug.prapr.mutators.LocalNameMutator_0,7140963,5687,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_12,1778459,495,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,6283989,4410,0,0,0,0,0,13
org.mudebug.prapr.mutators.MethodNameMutator_0,6791476,5216,0,0,0,0,0,94
org.mudebug.prapr.mutators.FieldNameMutator_0,7475076,4812,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,7000707,1388,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,467611,4816,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_4,7013597,1388,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,3898578,4984,0,0,0,2,2,0
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_4,6798588,501,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_0,5150091,913,0,0,4,4,4,2529
org.mudebug.prapr.mutators.FieldNameMutator_0,8886116,1388,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,6412520,730,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,593048,2810,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_1,7524456,5293,0,0,4,4,4,2567
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,1100310,3992,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_5,1476678,501,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_63,5968704,513,0,0,0,0,0,0
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,1485004,314,0,0,0,0,0,0
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,9248340,511,0,0,0,0,0,5
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,2982273,4816,0,0,0,0,0,384
org.mudebug.prapr.mutators.MethodNameMutator_7,7746493,5456,0,0,0,0,0,256
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,6022452,4957,0,0,4,4,4,2567
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,5339416,5421,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_1,8236404,4988,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_4,8027433,4988,0,0,2,2,2,20
org.mudebug.prapr.mutators.ArgumentListMutator_2,9881097,741,0,0,0,2,2,3
org.mudebug.prapr.mutators.FieldNameMutator_3,79051,1388,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,6449244,5313,0,0,0,0,0,5
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,9571840,735,1,0,0,0,0,0
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,2467104,4931,0,0,4,4,4,2377
org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,367236,4354,0,0,0,0,0,7
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_11,3556,4350,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_3,10084251,1388,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,2739960,4368,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_2,3941000,5294,0,0,0,0,0,1
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,5965264,2080,0,0,0,0,0,1
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,2717105,5468,0,0,0,0,0,5
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,5272866,3982,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_2,2042973,3809,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_3,6335059,3118,0,0,3,3,3,14
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,357751,507,0,0,0,0,0,5
org.mudebug.prapr.mutators.LocalNameMutator_0,3276652,5430,0,0,0,0,0,260
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1372759,3809,0,0,0,2,2,90
org.mudebug.prapr.mutators.MethodNameMutator_0,90110,5445,0,0,0,0,0,9
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,7171605,5294,0,0,4,4,4,2567
org.mudebug.prapr.mutators.ArithmeticOperatorDeletion_1,9707762,311,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,4538904,983,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_5,4535404,5420,0,0,0,0,0,9
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,9896413,501,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,7710391,3351,0,0,0,0,0,5
org.mudebug.prapr.mutators.MethCallResultGuard_0,877721,3352,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,22426,2241,0,0,0,0,0,6
org.mudebug.prapr.mutators.MethCallResultGuard_0,9758265,4348,0,0,0,0,0,7
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,6378088,312,0,0,0,2,2,0
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,3700641,2767,0,0,0,0,0,13
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,9184425,4762,0,0,0,0,0,0
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,2146442,2080,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,780342,969,0,0,4,4,4,2529
org.mudebug.prapr.mutators.LocalNameMutator_0,5266126,1227,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,5669571,5337,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_4,9630381,730,0,0,3,3,3,151
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,513488,1388,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,8832437,506,0,0,4,4,4,622
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,9979533,2570,0,0,0,0,0,5
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,4503149,4984,0,0,2,2,2,27
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,2508288,4582,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,4109093,917,0,0,4,4,4,2142
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,2739962,730,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_4,728104,4993,0,0,0,0,0,2
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,3202743,2836,0,0,3,3,3,1673
org.mudebug.prapr.mutators.MethCallResultGuard_0,3493721,458,0,0,0,0,0,0
