mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.mudebug.prapr.mutators.MethodNameMutator_7,7528565,7537,0,0,0,0,0,947
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_45,17331680,3287,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,16058730,1964,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_1,1306062,3285,0,0,0,0,0,2
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,14298657,8071,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,8647441,2670,0,0,1,1,1,5651
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,6262858,7057,0,0,1,1,1,3181
org.mudebug.prapr.mutators.LocalNameMutator_2,4634876,7347,0,0,0,0,0,7
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,21301706,7591,0,0,0,0,0,26
org.mudebug.prapr.mutators.ArgumentListMutator_2,10570611,5683,0,0,1,1,1,1609
org.mudebug.prapr.mutators.ArgumentListMutator_0,16646835,5531,0,0,1,1,1,3115
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_23,2406482,3852,0,0,0,0,0,3
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,11122892,7548,0,0,1,1,1,5857
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2013153,7495,0,0,0,0,0,9
org.mudebug.prapr.mutators.ArgumentListMutator_2,2355415,3855,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_9,6996800,7246,0,0,0,0,0,623
org.mudebug.prapr.mutators.FieldNameMutator_4,1800451,1189,0,0,0,0,0,1
org.mudebug.prapr.mutators.LocalNameMutator_0,15266022,8071,0,0,0,0,0,68
org.mudebug.prapr.mutators.MethodNameMutator_0,10198599,3299,0,0,1,1,1,10
org.mudebug.prapr.mutators.FieldNameMutator_2,11053711,7347,0,0,1,1,1,5857
org.mudebug.prapr.mutators.MethCallResultGuard_0,17788661,475,0,0,0,0,0,0
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,4588411,7347,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,19817228,7052,0,0,1,1,1,2902
org.mudebug.prapr.mutators.LocalNameMutator_1,12319917,7047,0,0,1,1,1,2851
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,13447725,696,0,0,1,1,1,5681
org.mudebug.prapr.mutators.MethodNameMutator_3,21356193,3299,0,0,0,0,0,4
org.mudebug.prapr.mutators.MethCallResultGuard_0,5776082,7348,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_2,7824964,6999,0,0,1,1,1,539
org.mudebug.prapr.mutators.MethodNameMutator_8,2859722,7523,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,2386897,1284,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_0,9816437,5511,0,0,0,0,0,2538
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1570830,7347,0,0,0,0,0,143
org.mudebug.prapr.mutators.RelationalOperatorReplacement_3,18510414,2670,0,0,0,0,0,5
org.mudebug.prapr.mutators.FieldNameMutator_3,9600089,7347,0,0,1,1,1,5372
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,10211334,650,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,16826657,5532,0,0,1,1,1,2909
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,3777744,690,0,0,1,1,1,39
org.mudebug.prapr.mutators.FieldNameMutator_2,15189289,7346,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_0,9224351,359,0,0,1,1,1,5549
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,485007,1739,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,4282878,7070,0,0,1,1,1,5709
org.mudebug.prapr.mutators.FieldNameMutator_0,12382308,1964,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_1,11747304,1964,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,580760,2674,0,0,0,0,0,9
org.mudebug.prapr.mutators.ArgumentListMutator_4,16257752,7341,0,0,0,0,0,5
org.mudebug.prapr.mutators.LocalNameMutator_0,5876355,3285,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_0,13245054,7347,0,0,0,0,0,34
org.mudebug.prapr.mutators.MethCallResultGuard_1,17897629,7348,0,0,0,0,0,5
org.mudebug.prapr.mutators.RelationalOperatorReplacement_3,801040,7505,0,0,0,0,0,2310
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_56,8498789,6729,0,0,0,0,0,0
