mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,2435163,8220,0,0,0,0,1,6
org.mudebug.prapr.mutators.LocalNameMutator_1,153550,3948,0,0,0,0,1,1
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_43,153589,4843,0,0,0,0,1,199
org.pitest.mutationtest.engine.gregor.mutators.experimental.SwitchMutator,349142,4843,0,0,1,1,1,3259
org.mudebug.prapr.mutators.MethodNameMutator_4,2334393,6963,1,0,0,0,1,3
org.mudebug.prapr.mutators.ArgumentListMutator_0,1215135,6593,0,0,1,1,1,3660
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,2139388,8218,0,0,1,1,1,7121
org.mudebug.prapr.mutators.FieldNameMutator_1,1450843,3948,0,0,0,0,1,33
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_55,1045701,4843,0,0,0,0,1,1
org.mudebug.prapr.mutators.FieldNameMutator_0,155686,8240,0,0,1,1,1,6105
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,777424,8220,0,0,0,0,1,3964
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_58,1208919,4843,0,0,0,0,1,1
org.mudebug.prapr.mutators.MethodNameMutator_0,1450828,6963,1,0,0,0,1,1
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,1792878,8219,0,0,0,0,1,1
org.mudebug.prapr.mutators.FieldNameMutator_3,636213,7877,0,0,0,0,1,1
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,858349,6963,1,0,0,0,1,22
org.mudebug.prapr.mutators.FieldNameMutator_1,1967329,7887,0,0,0,0,1,1
org.mudebug.prapr.mutators.FieldNameMutator_0,1783834,7887,0,0,0,0,1,46
org.mudebug.prapr.mutators.FieldNameMutator_1,603157,6987,0,0,0,0,1,2
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,2306445,8247,0,0,0,0,1,1
org.mudebug.prapr.mutators.FieldNameMutator_0,1575781,7887,0,0,0,0,1,2
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,2557278,6970,0,0,0,0,1,2
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,615243,7887,0,0,0,0,1,33
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,323333,6963,1,0,0,0,1,5
org.mudebug.prapr.mutators.ArgumentListMutator_5,310323,6593,0,0,0,0,1,52
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,297348,8247,0,0,0,0,1,5501
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_6,2627330,6963,1,0,0,0,1,39
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,2296371,6970,0,0,0,0,1,2
org.mudebug.prapr.mutators.FieldNameMutator_2,2656281,6987,0,0,0,0,1,85
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2512084,8309,0,0,1,1,1,6131
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,99764,8220,0,0,0,0,1,3920
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,2072119,3948,0,0,0,0,1,47
org.mudebug.prapr.mutators.MethodNameMutator_2,1924758,6963,1,0,0,0,1,3
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,285904,8236,0,0,1,1,1,6629
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1629750,8247,0,0,1,1,1,7060
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_61,2826485,4785,0,0,0,0,1,151
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_6,1743640,4843,0,0,0,0,1,166
org.mudebug.prapr.mutators.LocalNameMutator_1,1723364,6963,1,0,0,0,1,2
org.mudebug.prapr.mutators.MethCallResultGuard_0,2381214,7887,0,0,0,0,1,1
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1149482,8218,0,0,0,0,1,140
org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,533771,8309,0,0,1,1,1,6130
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1290989,6957,0,0,0,0,1,1
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,2541400,8220,0,0,0,0,1,1
org.mudebug.prapr.mutators.ArgumentListMutator_1,1078916,8220,0,0,0,0,1,1
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,2463735,6963,1,0,0,0,1,9
org.mudebug.prapr.mutators.FieldNameMutator_1,198306,5554,0,0,0,0,1,1
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,2557333,8247,0,0,0,0,1,1
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,999411,6963,1,0,1,1,1,1891
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,449066,8247,0,0,1,1,1,7060
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,302851,8219,0,0,0,0,1,1
