mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,13646674,6973,0,0,0,0,0,79
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,15796433,552,0,0,0,0,0,2
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,17276765,6614,0,0,1,1,1,2595
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,11675971,6635,0,0,1,1,1,47
org.mudebug.prapr.mutators.MethCallResultGuard_1,15855773,6351,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_28,5304356,3588,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,10940424,6608,0,0,0,0,0,0
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,10951867,6649,0,0,0,0,0,5
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_0,5162805,6531,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,1093569,757,1,0,0,1,1,5
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,16603883,7693,0,0,1,1,1,5260
org.mudebug.prapr.mutators.ArgumentListMutator_3,8940302,667,0,0,0,0,0,0
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,13501146,6609,0,0,0,0,0,5
org.mudebug.prapr.mutators.MethodNameMutator_2,18464624,761,0,0,1,1,1,27
org.mudebug.prapr.mutators.LocalNameMutator_1,6951532,6531,0,0,0,0,0,2
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,19167067,1083,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,19083407,1544,0,0,0,0,0,22
org.mudebug.prapr.mutators.MethodNameMutator_6,8287166,1207,0,0,0,0,0,3
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_4,15424777,4146,0,0,0,0,0,39
org.mudebug.prapr.mutators.LocalNameMutator_0,5155429,5308,0,0,0,0,0,1
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,18547336,6613,0,0,0,0,0,104
org.mudebug.prapr.mutators.ArgumentListMutator_4,6148488,6656,0,0,0,1,1,0
org.mudebug.prapr.mutators.FieldNameMutator_4,5901023,1755,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_0,16303007,6583,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,5180662,4206,0,0,0,0,0,1
org.mudebug.prapr.mutators.MethCallResultGuard_2,7529861,6897,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,3333945,6583,0,0,0,0,0,2506
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1859615,4146,0,0,0,1,1,121
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,13328513,6980,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,34516,7695,0,0,0,0,0,210
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,19005433,6609,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_4,5217710,6980,0,0,0,0,0,1664
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,13179236,6583,0,0,1,1,1,4043
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,12908941,1069,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_1,75884,557,0,0,0,1,1,2568
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,7244259,1755,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,656550,252,0,0,0,1,1,4
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,14897351,340,0,0,0,0,0,6
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,11283532,6628,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,2459824,566,0,0,0,0,0,4
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,9775994,7532,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,18843749,1036,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_0,16452301,1755,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,17674445,1208,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,8495788,5308,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_2,10452979,249,0,0,0,0,0,25
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,13739454,6630,0,0,0,0,0,71
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,34730,6586,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_28,15501761,6580,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_27,554917,6346,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,650415,6612,0,0,1,1,1,278
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,18768088,6617,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_0,6553406,1195,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,2459815,6603,0,0,0,0,0,0
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,6273210,4146,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,17804454,552,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_2,15326239,1197,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,15711911,753,0,0,0,0,0,0
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,13066722,355,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_3,11501860,6659,0,0,0,1,1,2481
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,786443,7284,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,13301760,1027,0,0,0,0,0,34
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,11456991,7049,0,0,0,0,0,7
org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,6746715,6637,0,0,0,1,1,0
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,2297195,6588,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,12567751,6787,0,0,1,1,1,5390
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,709661,7284,0,0,0,1,1,9
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_5,19138131,4367,0,0,0,0,0,36
org.mudebug.prapr.mutators.MethodNameMutator_0,2994292,6656,0,0,0,1,1,524
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,16686678,5171,0,0,1,1,1,2612
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,9500784,1765,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_0,18703628,1755,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,5269889,6984,0,0,1,1,1,5390
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,4437563,752,0,0,1,1,1,60
org.mudebug.prapr.mutators.FieldNameMutator_1,3192998,757,1,0,0,0,0,24
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,15687856,758,0,0,0,1,1,45
org.mudebug.prapr.mutators.ArgumentListMutator_4,14857262,5308,0,0,1,1,1,1444
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2644505,6609,0,0,1,1,1,5799
org.mudebug.prapr.mutators.MethCallResultGuard_2,15105376,6979,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,342396,564,0,0,1,1,1,4259
org.mudebug.prapr.mutators.LocalNameMutator_1,8576595,5308,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_3,15734106,6979,0,0,1,1,1,5390
org.mudebug.prapr.mutators.MethodNameMutator_1,712037,7053,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_1,14450527,352,0,0,0,0,0,3
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,6241998,1069,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_0,14993828,1209,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_3,14088784,3541,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_6,7903891,1209,0,0,0,1,1,40
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,7677709,758,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_0,8471889,549,0,0,1,1,1,5221
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,4473374,1205,0,0,0,0,0,1
org.mudebug.prapr.mutators.ArgumentListMutator_0,8958314,6656,0,0,0,1,1,0
org.mudebug.prapr.mutators.LocalNameMutator_0,1198857,6979,0,0,0,0,0,19
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,19183088,6674,0,0,0,0,0,5
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,12705361,6654,0,0,1,1,1,4878
org.mudebug.prapr.mutators.FieldNameMutator_2,11519320,1119,0,0,0,0,0,5
org.mudebug.prapr.mutators.DereferenceGuardMutator_4,15317656,6613,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,18258342,757,1,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,5029035,4146,0,0,0,0,0,39
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,15172857,249,0,0,1,1,1,1106
org.mudebug.prapr.mutators.MethCallResultGuard_0,16360785,6980,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,12448818,1755,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_2,14450515,6582,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_0,4327985,6897,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_2,895643,6979,0,0,0,0,0,2224
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,16766812,7179,0,0,0,0,0,5
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,18992909,6612,0,0,1,1,1,368
org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,13043449,6646,0,0,0,0,0,1
org.mudebug.prapr.mutators.MethodNameMutator_5,14232601,5317,0,0,0,1,1,358
org.mudebug.prapr.mutators.LocalNameMutator_0,11443724,759,0,0,1,1,1,46
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1231491,6675,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_4,8888010,6641,0,0,1,1,1,34
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,16302937,7284,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_3,16654853,7292,0,0,0,0,0,1801
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,1448931,1039,0,0,0,1,1,141
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_98,5674463,502,0,0,0,0,0,215
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,2772107,5308,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,13094273,757,1,0,1,1,1,54
org.mudebug.prapr.mutators.MethCallResultGuard_1,14576368,6656,0,0,0,0,0,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_4,3487214,6637,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,1885915,6674,0,0,1,1,1,2809
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,9495630,6586,0,0,0,0,0,2
org.mudebug.prapr.mutators.FieldNameMutator_0,2047587,6582,0,0,0,0,0,22
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,3076705,6625,0,0,0,1,1,2663
org.mudebug.prapr.mutators.FieldNameMutator_3,8360158,6979,0,0,1,1,1,5390
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,13446171,6531,0,0,0,0,0,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,15304325,7291,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_0,18255834,1205,0,0,0,1,1,61
org.mudebug.prapr.mutators.ArgumentListMutator_1,18193156,1192,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,7873654,6612,0,0,1,1,1,273
org.mudebug.prapr.mutators.ArgumentListMutator_5,18015044,6973,0,0,1,1,1,5390
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,14363930,6618,0,0,1,1,1,5221
org.mudebug.prapr.mutators.FieldNameMutator_2,4661124,1755,0,0,0,0,0,23
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,17149219,2881,0,0,0,0,0,2003
org.mudebug.prapr.mutators.MethodNameMutator_2,12084306,557,0,0,0,1,1,2567
org.mudebug.prapr.mutators.FieldNameMutator_1,1058867,1755,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_4,17531618,523,0,0,0,0,0,4
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,2591481,523,0,0,0,0,0,0
org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_65,15165667,502,0,0,0,0,0,5
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,16704426,6678,0,0,1,1,1,5390
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,7797444,6895,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_5,14088559,2437,0,0,0,0,0,22
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,1409269,559,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_0,9660485,6979,0,0,0,0,0,1
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,7211744,6637,0,0,1,1,1,48
org.mudebug.prapr.mutators.MethodNameMutator_2,14322443,1037,0,0,0,0,0,1728
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,10430688,564,0,0,0,0,0,0
org.mudebug.prapr.mutators.LocalNameMutator_0,13026222,5308,0,0,1,1,1,498
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,7418159,4355,0,0,0,0,0,5
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,5609644,1092,0,0,0,0,0,0
